Hour,date,Topic,tweets,Male,MaleHate,FemaleHate
16.0,10-28-2021,1,7.0,4.0,1.0,0.0
23.0,10-28-2021,0,8.0,4.0,0.0,0.0
23.0,10-28-2021,1,6.0,4.0,0.0,0.0
23.0,10-28-2021,4,3.0,2.0,1.0,0.0
23.0,10-28-2021,5,3.0,1.0,0.0,0.0
5.0,10-28-2021,0,14.0,7.0,2.0,1.0
6.0,10-28-2021,3,5.0,2.0,1.0,0.0
11.0,10-28-2021,1,7.0,3.0,0.0,0.0
0.0,10-28-2021,1,5.0,2.0,1.0,0.0
2.0,10-28-2021,4,4.0,2.0,0.0,0.0
7.0,10-28-2021,5,11.0,6.0,1.0,0.0
7.0,10-28-2021,4,5.0,3.0,0.0,0.0
7.0,10-28-2021,1,18.0,9.0,2.0,1.0
7.0,10-28-2021,0,19.0,11.0,2.0,1.0
1.0,10-28-2021,5,8.0,4.0,1.0,0.0
1.0,10-28-2021,4,3.0,2.0,0.0,0.0
1.0,10-28-2021,1,4.0,3.0,1.0,0.0
9.0,10-28-2021,0,14.0,7.0,2.0,1.0
1.0,10-28-2021,0,11.0,7.0,2.0,1.0
2.0,10-28-2021,1,2.0,1.0,1.0,0.0
22.0,10-28-2021,5,2.0,2.0,1.0,0.0
22.0,10-28-2021,4,3.0,2.0,0.0,0.0
22.0,10-28-2021,2,5.0,3.0,0.0,0.0
22.0,10-28-2021,1,4.0,3.0,0.0,0.0
22.0,10-28-2021,0,6.0,4.0,0.0,0.0
2.0,10-28-2021,3,5.0,3.0,0.0,0.0
2.0,10-28-2021,0,12.0,6.0,1.0,0.0
3.0,10-28-2021,0,22.0,12.0,2.0,1.0
9.0,10-28-2021,1,9.0,4.0,1.0,0.0
9.0,10-28-2021,5,8.0,4.0,1.0,0.0
0.0,10-28-2021,4,3.0,1.0,0.0,0.0
0.0,10-28-2021,5,7.0,3.0,0.0,0.0
0.0,10-28-2021,0,11.0,7.0,2.0,1.0
14.0,10-28-2021,0,14.0,8.0,2.0,1.0
14.0,10-28-2021,1,1.0,1.0,0.0,0.0
14.0,10-28-2021,4,5.0,2.0,0.0,0.0
14.0,10-28-2021,5,9.0,5.0,1.0,0.0
9.0,10-28-2021,4,4.0,2.0,0.0,0.0
10.0,10-28-2021,0,16.0,9.0,1.0,1.0
10.0,10-28-2021,4,10.0,6.0,0.0,0.0
10.0,10-28-2021,5,4.0,3.0,1.0,0.0
13.0,10-28-2021,5,9.0,4.0,1.0,0.0
13.0,10-28-2021,4,6.0,4.0,0.0,0.0
13.0,10-28-2021,1,18.0,9.0,2.0,1.0
13.0,10-28-2021,0,18.0,10.0,1.0,1.0
2.0,10-28-2021,5,8.0,4.0,0.0,0.0
10.0,10-28-2021,1,9.0,4.0,0.0,0.0
3.0,10-28-2021,1,4.0,2.0,1.0,0.0
19.0,10-28-2021,0,3.0,1.0,1.0,0.0
3.0,10-28-2021,5,14.0,7.0,1.0,1.0
3.0,10-28-2021,4,9.0,4.0,0.0,0.0
15.0,10-29-2021,1,15.0,8.0,1.0,1.0
20.0,10-29-2021,5,1.0,1.0,1.0,0.0
9.0,10-29-2021,5,7.0,4.0,0.0,0.0
9.0,10-29-2021,4,11.0,6.0,0.0,0.0
9.0,10-29-2021,2,15.0,8.0,2.0,1.0
9.0,10-29-2021,1,4.0,2.0,0.0,0.0
15.0,10-29-2021,2,10.0,6.0,1.0,0.0
11.0,10-29-2021,0,23.0,12.0,1.0,1.0
11.0,10-29-2021,1,10.0,6.0,0.0,0.0
11.0,10-29-2021,2,5.0,2.0,1.0,0.0
11.0,10-29-2021,4,13.0,7.0,1.0,1.0
11.0,10-29-2021,5,7.0,3.0,0.0,0.0
12.0,10-29-2021,5,4.0,2.0,0.0,0.0
5.0,10-29-2021,5,8.0,5.0,0.0,0.0
9.0,10-29-2021,0,19.0,11.0,2.0,1.0
10.0,10-29-2021,0,14.0,7.0,1.0,1.0
15.0,10-29-2021,4,14.0,7.0,1.0,1.0
15.0,10-29-2021,5,14.0,7.0,1.0,1.0
8.0,10-29-2021,5,4.0,2.0,0.0,0.0
7.0,10-29-2021,5,8.0,4.0,0.0,0.0
7.0,10-29-2021,4,7.0,3.0,0.0,0.0
7.0,10-29-2021,1,7.0,3.0,0.0,0.0
7.0,10-29-2021,0,17.0,9.0,1.0,1.0
18.0,10-29-2021,0,5.0,3.0,0.0,0.0
18.0,10-29-2021,1,1.0,1.0,0.0,0.0
5.0,10-29-2021,0,13.0,7.0,1.0,1.0
18.0,10-29-2021,5,2.0,1.0,0.0,0.0
23.0,10-29-2021,0,8.0,5.0,1.0,0.0
15.0,10-29-2021,0,30.0,17.0,3.0,2.0
20.0,10-29-2021,4,2.0,2.0,0.0,0.0
13.0,10-29-2021,0,24.0,14.0,2.0,2.0
23.0,10-29-2021,1,4.0,2.0,0.0,0.0
5.0,10-29-2021,1,2.0,1.0,1.0,0.0
16.0,10-29-2021,5,4.0,3.0,1.0,0.0
5.0,10-29-2021,4,6.0,4.0,0.0,0.0
16.0,10-29-2021,4,7.0,4.0,0.0,0.0
16.0,10-29-2021,2,5.0,2.0,1.0,0.0
16.0,10-29-2021,1,4.0,3.0,0.0,0.0
16.0,10-29-2021,0,12.0,6.0,1.0,0.0
14.0,10-29-2021,5,7.0,4.0,0.0,0.0
14.0,10-29-2021,4,10.0,5.0,0.0,0.0
12.0,10-29-2021,0,24.0,13.0,2.0,2.0
10.0,10-29-2021,5,6.0,3.0,0.0,0.0
4.0,10-29-2021,5,2.0,2.0,0.0,0.0
4.0,10-29-2021,4,4.0,3.0,0.0,0.0
2.0,10-29-2021,5,5.0,3.0,0.0,0.0
4.0,10-29-2021,1,9.0,5.0,1.0,0.0
10.0,10-29-2021,2,5.0,3.0,0.0,0.0
12.0,10-29-2021,1,8.0,5.0,1.0,0.0
12.0,10-29-2021,4,19.0,11.0,2.0,1.0
10.0,10-29-2021,1,4.0,3.0,0.0,0.0
14.0,10-29-2021,2,10.0,5.0,0.0,0.0
14.0,10-29-2021,1,13.0,8.0,2.0,1.0
14.0,10-29-2021,0,21.0,11.0,1.0,1.0
20.0,10-29-2021,0,4.0,2.0,1.0,0.0
20.0,10-29-2021,1,5.0,2.0,1.0,0.0
13.0,10-29-2021,5,3.0,2.0,1.0,0.0
13.0,10-29-2021,4,19.0,10.0,1.0,1.0
13.0,10-29-2021,2,10.0,6.0,0.0,0.0
13.0,10-29-2021,1,8.0,5.0,1.0,0.0
10.0,10-29-2021,4,7.0,4.0,1.0,0.0
23.0,10-29-2021,4,2.0,1.0,0.0,0.0
18.0,10-29-2021,4,3.0,1.0,1.0,0.0
8.0,10-29-2021,0,10.0,6.0,1.0,0.0
19.0,10-29-2021,0,4.0,2.0,1.0,0.0
0.0,10-29-2021,5,4.0,3.0,0.0,0.0
17.0,10-29-2021,0,10.0,6.0,0.0,0.0
22.0,10-29-2021,0,4.0,3.0,0.0,0.0
22.0,10-29-2021,3,5.0,3.0,0.0,0.0
22.0,10-29-2021,4,2.0,2.0,0.0,0.0
22.0,10-29-2021,5,2.0,2.0,1.0,0.0
6.0,10-29-2021,5,11.0,6.0,0.0,0.0
6.0,10-29-2021,4,4.0,2.0,1.0,0.0
6.0,10-29-2021,2,5.0,2.0,0.0,0.0
6.0,10-29-2021,1,7.0,4.0,0.0,0.0
17.0,10-29-2021,3,5.0,2.0,1.0,0.0
3.0,10-29-2021,4,5.0,2.0,1.0,0.0
17.0,10-29-2021,5,4.0,3.0,1.0,0.0
1.0,10-29-2021,5,5.0,2.0,0.0,0.0
6.0,10-29-2021,0,16.0,8.0,2.0,1.0
23.0,10-29-2021,5,5.0,3.0,1.0,0.0
1.0,10-29-2021,4,4.0,2.0,0.0,0.0
1.0,10-29-2021,1,4.0,2.0,0.0,0.0
0.0,10-29-2021,4,4.0,2.0,1.0,0.0
2.0,10-29-2021,4,4.0,2.0,1.0,0.0
8.0,10-29-2021,4,6.0,4.0,1.0,0.0
0.0,10-29-2021,2,10.0,6.0,0.0,0.0
21.0,10-29-2021,5,5.0,3.0,1.0,0.0
21.0,10-29-2021,4,2.0,2.0,0.0,0.0
21.0,10-29-2021,2,5.0,2.0,1.0,0.0
17.0,10-29-2021,1,6.0,3.0,0.0,0.0
21.0,10-29-2021,1,3.0,1.0,1.0,0.0
21.0,10-29-2021,0,7.0,3.0,1.0,0.0
3.0,10-29-2021,5,4.0,3.0,0.0,0.0
2.0,10-29-2021,0,10.0,5.0,0.0,0.0
8.0,10-29-2021,1,6.0,3.0,1.0,0.0
1.0,10-29-2021,0,9.0,5.0,1.0,0.0
17.0,10-29-2021,2,10.0,6.0,1.0,0.0
19.0,10-29-2021,5,1.0,0.0,0.0,0.0
19.0,10-29-2021,4,2.0,2.0,1.0,0.0
19.0,10-29-2021,3,10.0,5.0,0.0,0.0
19.0,10-29-2021,1,1.0,0.0,0.0,0.0
4.0,10-29-2021,0,9.0,5.0,0.0,0.0
2.0,10-29-2021,1,4.0,2.0,0.0,0.0
0.0,10-29-2021,0,10.0,5.0,0.0,0.0
0.0,10-29-2021,1,8.0,4.0,0.0,0.0
3.0,10-29-2021,1,4.0,3.0,1.0,0.0
3.0,10-29-2021,0,10.0,6.0,0.0,0.0
17.0,10-29-2021,4,5.0,3.0,0.0,0.0
12.0,10-30-2021,4,8.0,4.0,1.0,0.0
0.0,10-30-2021,1,4.0,2.0,1.0,0.0
10.0,10-30-2021,0,12.0,7.0,2.0,1.0
10.0,10-30-2021,1,3.0,1.0,1.0,0.0
10.0,10-30-2021,2,15.0,8.0,2.0,1.0
10.0,10-30-2021,4,4.0,3.0,0.0,0.0
10.0,10-30-2021,5,7.0,4.0,0.0,0.0
0.0,10-30-2021,4,2.0,2.0,0.0,0.0
0.0,10-30-2021,0,8.0,5.0,0.0,0.0
20.0,10-30-2021,0,3.0,2.0,0.0,0.0
17.0,10-30-2021,1,5.0,3.0,0.0,0.0
12.0,10-30-2021,1,3.0,2.0,1.0,0.0
23.0,10-30-2021,0,7.0,3.0,1.0,0.0
23.0,10-30-2021,1,2.0,1.0,0.0,0.0
5.0,10-30-2021,5,4.0,2.0,0.0,0.0
5.0,10-30-2021,4,6.0,4.0,1.0,0.0
3.0,10-30-2021,4,9.0,5.0,0.0,0.0
12.0,10-30-2021,5,7.0,3.0,0.0,0.0
23.0,10-30-2021,4,5.0,2.0,1.0,0.0
23.0,10-30-2021,5,2.0,1.0,1.0,0.0
3.0,10-30-2021,1,3.0,2.0,1.0,0.0
3.0,10-30-2021,0,22.0,12.0,1.0,1.0
17.0,10-30-2021,0,8.0,5.0,1.0,0.0
3.0,10-30-2021,5,14.0,8.0,1.0,1.0
5.0,10-30-2021,1,2.0,2.0,1.0,0.0
12.0,10-30-2021,0,16.0,9.0,1.0,1.0
8.0,10-30-2021,0,18.0,10.0,1.0,1.0
0.0,10-30-2021,5,5.0,2.0,0.0,0.0
5.0,10-30-2021,0,10.0,6.0,0.0,0.0
17.0,10-30-2021,5,3.0,1.0,1.0,0.0
20.0,10-30-2021,5,0.0,0.0,0.0,0.0
20.0,10-30-2021,4,2.0,2.0,1.0,0.0
20.0,10-30-2021,1,2.0,2.0,0.0,0.0
17.0,10-30-2021,4,4.0,3.0,1.0,0.0
17.0,10-30-2021,2,5.0,2.0,0.0,0.0
5.0,10-30-2021,2,5.0,2.0,0.0,0.0
16.0,10-30-2021,5,3.0,1.0,0.0,0.0
21.0,10-30-2021,0,2.0,2.0,0.0,0.0
16.0,10-30-2021,2,10.0,6.0,0.0,0.0
1.0,10-30-2021,5,7.0,4.0,0.0,0.0
2.0,10-30-2021,1,4.0,2.0,1.0,0.0
19.0,10-30-2021,0,4.0,3.0,0.0,0.0
19.0,10-30-2021,1,4.0,3.0,0.0,0.0
19.0,10-30-2021,4,1.0,1.0,0.0,0.0
18.0,10-30-2021,5,2.0,2.0,1.0,0.0
18.0,10-30-2021,4,1.0,1.0,1.0,0.0
19.0,10-30-2021,5,1.0,0.0,1.0,0.0
18.0,10-30-2021,2,5.0,2.0,1.0,0.0
18.0,10-30-2021,1,3.0,2.0,1.0,0.0
16.0,10-30-2021,4,8.0,5.0,0.0,0.0
15.0,10-30-2021,5,5.0,2.0,0.0,0.0
15.0,10-30-2021,4,7.0,4.0,1.0,0.0
15.0,10-30-2021,1,12.0,6.0,1.0,0.0
15.0,10-30-2021,0,15.0,9.0,2.0,1.0
6.0,10-30-2021,5,5.0,2.0,1.0,0.0
6.0,10-30-2021,4,6.0,4.0,1.0,0.0
6.0,10-30-2021,1,4.0,2.0,0.0,0.0
6.0,10-30-2021,0,11.0,6.0,1.0,0.0
21.0,10-30-2021,5,0.0,1.0,1.0,0.0
8.0,10-30-2021,3,10.0,6.0,1.0,0.0
14.0,10-30-2021,5,11.0,7.0,1.0,1.0
8.0,10-30-2021,4,6.0,3.0,0.0,0.0
8.0,10-30-2021,5,12.0,6.0,0.0,0.0
8.0,10-30-2021,2,5.0,2.0,0.0,0.0
8.0,10-30-2021,1,2.0,2.0,0.0,0.0
7.0,10-30-2021,0,14.0,8.0,1.0,1.0
22.0,10-30-2021,0,5.0,2.0,0.0,0.0
22.0,10-30-2021,4,3.0,2.0,1.0,0.0
22.0,10-30-2021,5,2.0,1.0,1.0,0.0
2.0,10-30-2021,5,9.0,5.0,0.0,0.0
2.0,10-30-2021,4,7.0,4.0,0.0,0.0
1.0,10-30-2021,0,11.0,7.0,2.0,1.0
1.0,10-30-2021,1,4.0,3.0,0.0,0.0
1.0,10-30-2021,4,4.0,2.0,0.0,0.0
22.0,10-30-2021,1,2.0,1.0,1.0,0.0
7.0,10-30-2021,1,5.0,3.0,1.0,0.0
18.0,10-30-2021,0,4.0,2.0,0.0,0.0
7.0,10-30-2021,3,5.0,3.0,0.0,0.0
16.0,10-30-2021,1,3.0,1.0,0.0,0.0
16.0,10-30-2021,0,12.0,7.0,2.0,1.0
14.0,10-30-2021,0,20.0,11.0,1.0,1.0
14.0,10-30-2021,1,8.0,4.0,0.0,0.0
14.0,10-30-2021,4,8.0,4.0,1.0,0.0
4.0,10-30-2021,5,6.0,4.0,1.0,0.0
4.0,10-30-2021,4,4.0,2.0,1.0,0.0
4.0,10-30-2021,1,7.0,4.0,0.0,0.0
4.0,10-30-2021,0,11.0,7.0,2.0,1.0
9.0,10-30-2021,5,6.0,4.0,1.0,0.0
21.0,10-30-2021,4,1.0,1.0,0.0,0.0
7.0,10-30-2021,2,10.0,5.0,1.0,0.0
13.0,10-30-2021,5,11.0,7.0,1.0,1.0
13.0,10-30-2021,4,8.0,5.0,0.0,0.0
13.0,10-30-2021,1,3.0,2.0,1.0,0.0
9.0,10-30-2021,4,11.0,7.0,1.0,1.0
9.0,10-30-2021,0,19.0,11.0,1.0,1.0
11.0,10-30-2021,1,3.0,2.0,0.0,0.0
13.0,10-30-2021,0,19.0,10.0,1.0,1.0
11.0,10-30-2021,5,9.0,5.0,1.0,0.0
11.0,10-30-2021,0,18.0,9.0,2.0,1.0
11.0,10-30-2021,2,10.0,6.0,0.0,0.0
7.0,10-30-2021,5,8.0,5.0,0.0,0.0
11.0,10-30-2021,4,9.0,5.0,1.0,0.0
7.0,10-30-2021,4,4.0,3.0,1.0,0.0
2.0,10-30-2021,0,16.0,9.0,2.0,1.0
9.0,10-30-2021,1,10.0,5.0,0.0,0.0
19.0,11-01-2021,1,2.0,1.0,0.0,0.0
2.0,11-01-2021,1,6.0,4.0,1.0,0.0
4.0,11-01-2021,4,10.0,6.0,1.0,0.0
4.0,11-01-2021,3,15.0,9.0,1.0,1.0
4.0,11-01-2021,1,9.0,4.0,0.0,0.0
4.0,11-01-2021,0,21.0,11.0,1.0,1.0
12.0,11-01-2021,5,10.0,6.0,1.0,0.0
19.0,11-01-2021,4,5.0,3.0,1.0,0.0
2.0,11-01-2021,2,5.0,2.0,1.0,0.0
19.0,11-01-2021,5,23.0,12.0,1.0,1.0
5.0,11-01-2021,1,13.0,7.0,2.0,1.0
9.0,11-01-2021,5,6.0,4.0,0.0,0.0
9.0,11-01-2021,4,15.0,9.0,2.0,1.0
9.0,11-01-2021,1,11.0,6.0,1.0,0.0
12.0,11-01-2021,1,4.0,3.0,0.0,0.0
12.0,11-01-2021,2,5.0,2.0,1.0,0.0
9.0,11-01-2021,0,23.0,12.0,1.0,1.0
19.0,11-01-2021,0,26.0,14.0,3.0,2.0
2.0,11-01-2021,4,18.0,9.0,2.0,1.0
2.0,11-01-2021,5,5.0,3.0,0.0,0.0
12.0,11-01-2021,3,5.0,2.0,1.0,0.0
12.0,11-01-2021,4,12.0,6.0,0.0,0.0
5.0,11-01-2021,5,10.0,5.0,0.0,0.0
5.0,11-01-2021,4,14.0,8.0,1.0,1.0
5.0,11-01-2021,0,26.0,15.0,3.0,2.0
2.0,11-01-2021,0,24.0,14.0,2.0,2.0
4.0,11-01-2021,5,9.0,5.0,0.0,0.0
6.0,11-01-2021,2,5.0,3.0,0.0,0.0
15.0,11-01-2021,4,13.0,7.0,2.0,1.0
14.0,11-01-2021,4,16.0,9.0,1.0,1.0
14.0,11-01-2021,5,14.0,8.0,2.0,1.0
15.0,11-01-2021,0,26.0,14.0,2.0,2.0
15.0,11-01-2021,1,6.0,3.0,1.0,0.0
12.0,11-01-2021,0,23.0,12.0,2.0,1.0
15.0,11-01-2021,5,13.0,7.0,2.0,1.0
13.0,11-01-2021,0,34.0,18.0,2.0,2.0
3.0,11-01-2021,5,11.0,6.0,1.0,0.0
13.0,11-01-2021,1,8.0,4.0,1.0,0.0
13.0,11-01-2021,5,14.0,7.0,2.0,1.0
21.0,11-01-2021,5,14.0,7.0,1.0,1.0
21.0,11-01-2021,4,3.0,1.0,0.0,0.0
21.0,11-01-2021,0,16.0,9.0,2.0,1.0
7.0,11-01-2021,0,21.0,12.0,2.0,1.0
18.0,11-01-2021,5,5.0,2.0,1.0,0.0
18.0,11-01-2021,4,4.0,2.0,0.0,0.0
13.0,11-01-2021,4,19.0,11.0,2.0,1.0
3.0,11-01-2021,4,12.0,6.0,1.0,0.0
3.0,11-01-2021,1,3.0,2.0,0.0,0.0
3.0,11-01-2021,0,23.0,13.0,3.0,2.0
1.0,11-01-2021,5,6.0,4.0,1.0,0.0
1.0,11-01-2021,4,9.0,5.0,0.0,0.0
1.0,11-01-2021,1,6.0,3.0,1.0,0.0
1.0,11-01-2021,0,15.0,9.0,1.0,1.0
7.0,11-01-2021,4,10.0,5.0,1.0,0.0
7.0,11-01-2021,5,8.0,5.0,0.0,0.0
8.0,11-01-2021,5,15.0,9.0,1.0,1.0
8.0,11-01-2021,4,16.0,8.0,2.0,1.0
8.0,11-01-2021,1,6.0,4.0,1.0,0.0
8.0,11-01-2021,0,31.0,18.0,2.0,2.0
22.0,11-01-2021,5,16.0,8.0,2.0,1.0
22.0,11-01-2021,4,8.0,4.0,0.0,0.0
22.0,11-01-2021,1,3.0,2.0,1.0,0.0
22.0,11-01-2021,0,23.0,13.0,2.0,2.0
14.0,11-01-2021,0,30.0,17.0,3.0,2.0
14.0,11-01-2021,1,6.0,3.0,1.0,0.0
14.0,11-01-2021,3,5.0,3.0,1.0,0.0
6.0,11-01-2021,1,8.0,5.0,0.0,0.0
6.0,11-01-2021,4,8.0,4.0,0.0,0.0
6.0,11-01-2021,0,15.0,9.0,2.0,1.0
18.0,11-01-2021,0,10.0,6.0,0.0,0.0
16.0,11-01-2021,5,6.0,4.0,0.0,0.0
18.0,11-01-2021,1,3.0,1.0,0.0,0.0
20.0,11-01-2021,1,2.0,1.0,1.0,0.0
20.0,11-01-2021,4,4.0,2.0,0.0,0.0
20.0,11-01-2021,5,16.0,8.0,1.0,1.0
10.0,11-01-2021,5,10.0,5.0,1.0,0.0
10.0,11-01-2021,4,16.0,8.0,2.0,1.0
10.0,11-01-2021,1,10.0,5.0,1.0,0.0
17.0,11-01-2021,5,5.0,3.0,1.0,0.0
23.0,11-01-2021,0,18.0,10.0,2.0,1.0
23.0,11-01-2021,1,2.0,2.0,0.0,0.0
17.0,11-01-2021,4,3.0,2.0,1.0,0.0
17.0,11-01-2021,1,9.0,5.0,1.0,0.0
0.0,11-01-2021,5,4.0,2.0,1.0,0.0
0.0,11-01-2021,4,6.0,4.0,0.0,0.0
0.0,11-01-2021,1,2.0,2.0,1.0,0.0
10.0,11-01-2021,0,28.0,16.0,3.0,2.0
0.0,11-01-2021,0,10.0,6.0,0.0,0.0
17.0,11-01-2021,0,10.0,6.0,1.0,0.0
23.0,11-01-2021,4,6.0,4.0,0.0,0.0
23.0,11-01-2021,5,12.0,7.0,2.0,1.0
16.0,11-01-2021,4,4.0,3.0,1.0,0.0
16.0,11-01-2021,2,10.0,5.0,1.0,0.0
20.0,11-01-2021,0,19.0,11.0,1.0,1.0
7.0,11-01-2021,1,13.0,8.0,1.0,1.0
6.0,11-01-2021,5,6.0,4.0,1.0,0.0
11.0,11-01-2021,5,24.0,14.0,2.0,2.0
11.0,11-01-2021,1,13.0,7.0,2.0,1.0
11.0,11-01-2021,4,17.0,10.0,2.0,1.0
16.0,11-01-2021,0,12.0,6.0,1.0,0.0
16.0,11-01-2021,1,6.0,3.0,0.0,0.0
11.0,11-01-2021,0,42.0,24.0,4.0,3.0
4.0,11-02-2021,1,4.0,3.0,0.0,0.0
4.0,11-02-2021,0,23.0,13.0,3.0,2.0
9.0,11-02-2021,5,7.0,3.0,0.0,0.0
9.0,11-02-2021,4,16.0,8.0,1.0,1.0
4.0,11-02-2021,3,5.0,2.0,1.0,0.0
9.0,11-02-2021,2,5.0,3.0,1.0,0.0
7.0,11-02-2021,0,17.0,9.0,2.0,1.0
7.0,11-02-2021,1,4.0,3.0,1.0,0.0
0.0,11-02-2021,5,18.0,9.0,2.0,1.0
7.0,11-02-2021,4,7.0,3.0,0.0,0.0
9.0,11-02-2021,1,5.0,2.0,1.0,0.0
9.0,11-02-2021,0,24.0,14.0,3.0,2.0
7.0,11-02-2021,3,5.0,2.0,0.0,0.0
13.0,11-02-2021,4,22.0,12.0,1.0,1.0
13.0,11-02-2021,3,5.0,3.0,0.0,0.0
13.0,11-02-2021,1,11.0,7.0,1.0,1.0
0.0,11-02-2021,1,2.0,1.0,1.0,0.0
13.0,11-02-2021,0,36.0,20.0,3.0,3.0
0.0,11-02-2021,0,22.0,12.0,1.0,1.0
7.0,11-02-2021,5,9.0,5.0,0.0,0.0
0.0,11-02-2021,4,5.0,2.0,0.0,0.0
13.0,11-02-2021,5,12.0,7.0,2.0,1.0
23.0,11-02-2021,5,6.0,3.0,1.0,0.0
8.0,11-02-2021,4,7.0,4.0,1.0,0.0
6.0,11-02-2021,1,3.0,2.0,1.0,0.0
6.0,11-02-2021,4,8.0,4.0,1.0,0.0
6.0,11-02-2021,5,18.0,9.0,1.0,1.0
17.0,11-02-2021,5,4.0,3.0,1.0,0.0
17.0,11-02-2021,4,7.0,3.0,0.0,0.0
17.0,11-02-2021,1,2.0,2.0,0.0,0.0
17.0,11-02-2021,0,11.0,6.0,0.0,0.0
5.0,11-02-2021,0,21.0,12.0,1.0,1.0
5.0,11-02-2021,1,3.0,2.0,1.0,0.0
5.0,11-02-2021,2,5.0,3.0,1.0,0.0
5.0,11-02-2021,4,8.0,5.0,1.0,0.0
5.0,11-02-2021,5,13.0,7.0,2.0,1.0
23.0,11-02-2021,0,17.0,10.0,2.0,1.0
23.0,11-02-2021,1,6.0,4.0,1.0,0.0
23.0,11-02-2021,4,10.0,5.0,0.0,0.0
6.0,11-02-2021,0,25.0,14.0,2.0,2.0
8.0,11-02-2021,5,7.0,3.0,1.0,0.0
4.0,11-02-2021,4,9.0,4.0,0.0,0.0
18.0,11-02-2021,0,8.0,4.0,1.0,0.0
8.0,11-02-2021,1,9.0,4.0,1.0,0.0
8.0,11-02-2021,0,16.0,9.0,1.0,1.0
15.0,11-02-2021,0,23.0,13.0,2.0,2.0
15.0,11-02-2021,1,11.0,7.0,2.0,1.0
15.0,11-02-2021,4,12.0,6.0,1.0,0.0
15.0,11-02-2021,5,10.0,5.0,0.0,0.0
21.0,11-02-2021,5,2.0,2.0,1.0,0.0
21.0,11-02-2021,4,5.0,3.0,1.0,0.0
21.0,11-02-2021,1,5.0,2.0,1.0,0.0
21.0,11-02-2021,0,8.0,5.0,1.0,0.0
18.0,11-02-2021,5,3.0,1.0,0.0,0.0
18.0,11-02-2021,4,5.0,3.0,0.0,0.0
2.0,11-02-2021,0,30.0,16.0,2.0,2.0
2.0,11-02-2021,1,7.0,4.0,0.0,0.0
18.0,11-02-2021,2,5.0,3.0,0.0,0.0
2.0,11-02-2021,5,21.0,11.0,1.0,1.0
4.0,11-02-2021,5,14.0,8.0,2.0,1.0
2.0,11-02-2021,4,10.0,5.0,0.0,0.0
12.0,11-02-2021,0,38.0,21.0,3.0,3.0
22.0,11-02-2021,1,2.0,1.0,1.0,0.0
22.0,11-02-2021,2,5.0,2.0,0.0,0.0
22.0,11-02-2021,4,5.0,2.0,1.0,0.0
22.0,11-02-2021,5,3.0,2.0,0.0,0.0
16.0,11-02-2021,2,5.0,2.0,1.0,0.0
16.0,11-02-2021,4,8.0,4.0,0.0,0.0
1.0,11-02-2021,1,5.0,3.0,0.0,0.0
14.0,11-02-2021,5,9.0,5.0,1.0,0.0
12.0,11-02-2021,5,10.0,6.0,0.0,0.0
12.0,11-02-2021,4,27.0,14.0,2.0,2.0
19.0,11-02-2021,5,1.0,1.0,0.0,0.0
19.0,11-02-2021,4,2.0,2.0,1.0,0.0
19.0,11-02-2021,2,5.0,2.0,0.0,0.0
19.0,11-02-2021,1,1.0,1.0,0.0,0.0
19.0,11-02-2021,0,4.0,3.0,0.0,0.0
1.0,11-02-2021,5,20.0,12.0,1.0,1.0
20.0,11-02-2021,5,2.0,2.0,1.0,0.0
20.0,11-02-2021,4,2.0,1.0,0.0,0.0
20.0,11-02-2021,1,1.0,0.0,1.0,0.0
12.0,11-02-2021,1,10.0,6.0,0.0,0.0
20.0,11-02-2021,0,4.0,3.0,1.0,0.0
1.0,11-02-2021,4,11.0,6.0,0.0,0.0
1.0,11-02-2021,3,5.0,3.0,1.0,0.0
22.0,11-02-2021,0,8.0,5.0,0.0,0.0
10.0,11-02-2021,4,17.0,10.0,1.0,1.0
16.0,11-02-2021,5,4.0,3.0,1.0,0.0
1.0,11-02-2021,0,31.0,17.0,2.0,2.0
11.0,11-02-2021,0,23.0,12.0,2.0,1.0
10.0,11-02-2021,5,10.0,5.0,0.0,0.0
11.0,11-02-2021,1,9.0,4.0,1.0,0.0
10.0,11-02-2021,0,29.0,16.0,3.0,2.0
10.0,11-02-2021,1,11.0,7.0,2.0,1.0
10.0,11-02-2021,2,5.0,3.0,1.0,0.0
3.0,11-02-2021,5,13.0,8.0,1.0,1.0
11.0,11-02-2021,4,10.0,6.0,0.0,0.0
14.0,11-02-2021,4,11.0,7.0,1.0,1.0
11.0,11-02-2021,5,12.0,7.0,2.0,1.0
3.0,11-02-2021,0,23.0,13.0,3.0,2.0
14.0,11-02-2021,0,20.0,11.0,1.0,1.0
14.0,11-02-2021,1,4.0,2.0,1.0,0.0
3.0,11-02-2021,1,9.0,5.0,1.0,0.0
16.0,11-02-2021,1,6.0,3.0,1.0,0.0
3.0,11-02-2021,4,9.0,5.0,0.0,0.0
16.0,11-02-2021,0,14.0,7.0,1.0,1.0
13.0,11-03-2021,4,12.0,7.0,2.0,1.0
2.0,11-03-2021,4,17.0,10.0,2.0,1.0
2.0,11-03-2021,3,5.0,2.0,1.0,0.0
1.0,11-03-2021,0,20.0,12.0,1.0,1.0
1.0,11-03-2021,1,10.0,6.0,1.0,0.0
11.0,11-03-2021,0,21.0,12.0,2.0,1.0
17.0,11-03-2021,5,13.0,7.0,2.0,1.0
1.0,11-03-2021,3,5.0,3.0,1.0,0.0
